Categoria,Immagine,R2 URL,Prodotto ID,Prodotto Nome,Match Type,Confidence
"motoriduttori","MOTORIDUTTORE MELLOR T14 – 5 RPM (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-mellor-t14-5-rpm-2.jpg","10","MOTORIDUTTORE MELLOR T14 – 5 RPM","name-exact","high"
"motoriduttori","MOTORIDUTTORE MELLOR T14 – 5 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-mellor-t14-5-rpm.jpg","10","MOTORIDUTTORE MELLOR T14 – 5 RPM","name-exact","high"
"motoriduttori","MOTORIDUTTORE PER STUFE A PELLET MELLOR 1,26 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-1-26-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","name-partial","medium"
"motoriduttori","MOTORIDUTTORE PER STUFE A PELLET MELLOR 1,5 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-1-5-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","name-partial","medium"
"motoriduttori","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-4-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","name-exact","high"
"ventilatori-fumi","VENTILATORE FUMI EBMPAPST CON ENCODER (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-ebmpapst-con-encoder-2.jpg","16","VENTILATORE FUMI EBMPAPST CON ENCODER","name-exact","high"
"ventilatori-fumi","VENTILATORE FUMI EBMPAPST CON ENCODER.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-ebmpapst-con-encoder.jpg","16","VENTILATORE FUMI EBMPAPST CON ENCODER","name-exact","high"
"ventilatori-aria","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-per-stufa-a-pellet-2.jpg","17","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET","name-exact","high"
"ventilatori-aria","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET con misure.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-per-stufa-a-pellet-con-misure.jpg","17","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET","name-partial","medium"
"ventilatori-aria","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-per-stufa-a-pellet.jpg","17","VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE GRANDE DX (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-dx-2.jpg","18","VENTILATORE TANGENZIALE GRANDE DX","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE GRANDE DX.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-dx.jpg","18","VENTILATORE TANGENZIALE GRANDE DX","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE PICCOLO (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-piccolo-2.jpg","19","VENTILATORE TANGENZIALE PICCOLO","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE PICCOLO.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-piccolo.jpg","19","VENTILATORE TANGENZIALE PICCOLO","name-exact","high"
"ventilatori-aria","VENTILATORE ARIA STUFE SLIM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-stufe-slim.jpg","22","VENTILATORE ARIA STUFE SLIM","name-exact","high"
"ventilatori-aria","ventilatore-aria-stufe-slim.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-stufe-slim.jpg","22","VENTILATORE ARIA STUFE SLIM","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-130-mm.jpg","23","RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-100-mm.jpg","24","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-x-140-mm-attacco-a-filetto-38.jpg","25","RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 3/8","name-partial","manual-verified"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 12,5 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm.jpg","26","RESISTENZA ELETTRICA Ø 12,5 mm","name-exact","high"
"display-cavi-telecomandi","DISPLAY LCD A 6 TASTI MICRONOVA 2.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-a-6-tasti-micronova-2.jpg","27","DISPLAY LCD A 6 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","DISPLAY LCD A 6 TASTI MICRONOVA BLU.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-a-6-tasti-micronova-blu.jpg","27","DISPLAY LCD A 6 TASTI MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","DISPLAY LCD A 6 TASTI MICRONOVA DIETRO.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-a-6-tasti-micronova-dietro.jpg","27","DISPLAY LCD A 6 TASTI MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","DISPLAY LCD A 6 TASTI MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-a-6-tasti-micronova.jpg","27","DISPLAY LCD A 6 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","DISPLAY LED A 6 TASTI MICRONOVA (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-6-tasti-micronova-2.jpg","28","DISPLAY LED A 6 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","DISPLAY LED A 6 TASTI MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-6-tasti-micronova.jpg","28","DISPLAY LED A 6 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","DISPLAY LED A 6 TASTI VERTICALE MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-6-tasti-verticale-micronova.jpg","28","DISPLAY LED A 6 TASTI MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","display vert micro 6 tasti.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-vert-micro-6-tasti.jpg","28","DISPLAY LED A 6 TASTI MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","display verticale micro 6 tasti.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-verticale-micro-6-tasti.jpg","28","DISPLAY LED A 6 TASTI MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","DISPLAY LED A 3 TASTI MICRONOVA 2.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-3-tasti-micronova-2.jpg","29","DISPLAY LED A 3 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","DISPLAY LED A 3 TASTI MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-3-tasti-micronova.jpg","29","DISPLAY LED A 3 TASTI MICRONOVA","name-exact","high"
"display-cavi-telecomandi","display duepi 3 tasti led.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-duepi-3-tasti-led.jpg","30","DISPLAY LED A 3 TASTI DUEPI","name-partial","manual-verified"
"display-cavi-telecomandi","DISPLAY LED A 3 TASTI DUEPI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-3-tasti-duepi.jpg","30","DISPLAY LED A 3 TASTI DUEPI","name-exact","high"
"display-cavi-telecomandi","duepi 3 tasti led.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/duepi-3-tasti-led.jpg","30","DISPLAY LED A 3 TASTI DUEPI","name-partial","manual-verified"
"display-cavi-telecomandi","PANNELLO DI EMERGENZA TELECOMANDO RADIO MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/pannello-di-emergenza-telecomando-radio-micronova.jpg","31","PANNELLO DI EMERGENZA TELECOMANDO RADIO MICRONOVA","name-exact","high"
"display-cavi-telecomandi","CAVO FLAT DISPLAY 1200 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/cavo-flat-display-1200-mm.jpg","32","CAVO FLAT DISPLAY 1200 mm","name-exact","high"
"display-cavi-telecomandi","CAVO FLAT DISPLAY 1500 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/cavo-flat-display-1500-mm.jpg","32","CAVO FLAT DISPLAY 1200 mm","name-partial","medium"
"display-cavi-telecomandi","telecomando Micronova.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-micronova.jpg","33","TELECOMANDO RADIO MICRONOVA","name-partial","manual-verified"
"display-cavi-telecomandi","TELECOMANDO RADIO MICRONOVA OLD.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-radio-micronova-old.jpg","33","TELECOMANDO RADIO MICRONOVA","name-partial","medium"
"display-cavi-telecomandi","TELECOMANDO RADIO MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-radio-micronova.jpg","33","TELECOMANDO RADIO MICRONOVA","name-exact","high"
"display-cavi-telecomandi","TELECOMANDO UNIVERSALE PER STUFE A PELLET.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-universale-per-stufe-a-pellet.jpg","34","TELECOMANDO UNIVERSALE PER STUFE A PELLET ELETTRONICA MICRONOVA","name-partial","medium"
"schede-elettroniche-sensori","SCHEDA ELETTRONICA I023-5T.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-i023-5t.jpeg","35","SCHEDA ELETTRONICA MICRONOVA I023","name-partial","manual-verified"
"schede-elettroniche-sensori","SCHEDA ELETTRONICA MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-micronova.jpg","35","SCHEDA ELETTRONICA MICRONOVA I023","name-partial","manual-verified"
"schede-elettroniche-sensori","SCHEDA ELETTRONICA N100 MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-n100-micronova.jpg","37","SCHEDA ELETTRONICA N100 MICRONOVA","name-exact","high"
"schede-elettroniche-sensori","SCHEDA ELETTRONICA DUEPI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-duepi.jpg","38","SCHEDA ELETTRONICA DUEPI","name-exact","high"
"bracieri-camere-combustione","BRACIERE COMPLETO STUFE 6-7-8KW ANITA-EDDY-ANNA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-completo-stufe-6-7-8kw-anita-eddy-anna.jpg","40","BRACIERE COMPLETO STUFE 6-7-8KW ANITA-EDDY-ANNA","name-exact","high"
"bracieri-camere-combustione","GRIGLIA ACCIAO BRACIERE.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/griglia-acciao-braciere.jpg","41","GRIGLIA ACCIAO BRACIERE","name-exact","high"
"sonde-depressori-termostati","PRESSOSTATO  DEPRESSORE 0,4 mbar.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/pressostato-depressore-0-4-mbar.jpg","44","PRESSOSTATO / DEPRESSORE 0,4 mbar","name-exact","high"
"sonde-depressori-termostati","PRESSOSTATO  DEPRESSORE 0,6 mbar.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/pressostato-depressore-0-6-mbar.jpg","45","PRESSOSTATO / DEPRESSORE 0,6 mbar","name-exact","high"
"sonde-depressori-termostati","SONDA TEMPERATURA AMBIENTE NTC 10K MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/sonda-temperatura-ambiente-ntc-10k-micronova.jpg","46","SONDA TEMPERATURA AMBIENTE NTC 10K MICRONOVA","name-exact","high"
"sonde-depressori-termostati","SONDA TEMPERATURA FUMI MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/sonda-temperatura-fumi-micronova.jpg","47","SONDA TEMPERATURA FUMI MICRONOVA","name-exact","high"
"guarnizioni-silicone","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 3mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-3mm.jpg","48","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 3mm","name-exact","high"
"guarnizioni-silicone","CORDINO.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/cordino.jpg","49","CORDINO 9 MM ","name-partial","medium"
"guarnizioni-silicone","GUARNIZIONE SILICONICA PER TUBI PELLET.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/guarnizione-siliconica-per-tubi-pellet.jpg","50","GUARNIZIONE SILICONICA PER TUBI PELLET","name-exact","high"
"resistenze-accensione","RESISTENZA CERAMICA ATTACCO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-ceramica-attacco-38.jpg","51","RESISTENZA CERAMICA ATTACCO 3/8","name-partial","manual-verified"
