Categoria,Immagine,R2 URL,Prodotto ID,Prodotto Nome,Match Type,Confidence
"schede-elettroniche-sensori","SENSORE DEBIMETRO MICRONOVA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-micronova.jpg","52","SENSORE DEBIMETRO MICRONOVA","name-exact","high"
"ventilatori-aria","VENTILATORE CENTRIFUGO EVAGOLD30CO0001 (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-centrifugo-evagold30co0001-2.jpg","53","VENTILATORE CENTRIFUGO NATALINI EVAGOLD30CO0001","name-partial","medium"
"ventilatori-aria","VENTILATORE CENTRIFUGO EVAGOLD30CO0001.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-centrifugo-evagold30co0001.jpg","53","VENTILATORE CENTRIFUGO NATALINI EVAGOLD30CO0001","name-partial","medium"
"ventilatori-aria","VENTILATORE ARIA CENTRIFUGO RLH1200038-3038LH (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-rlh1200038-3038lh-2.jpg","54","VENTILATORE ARIA CENTRIFUGO RLH120/0038-3038LH","name-partial","manual-verified"
"ventilatori-aria","VENTILATORE ARIA CENTRIFUGO RLH1200038-3038LH.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-rlh1200038-3038lh.jpg","54","VENTILATORE ARIA CENTRIFUGO RLH120/0038-3038LH","name-partial","manual-verified"
"ventilatori-fumi","VENTILATORE FUMI CON ENCODER E CHIOCCIOLA (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-con-encoder-e-chiocciola-2.jpg","55","VENTILATORE FUMI CON ENCODER E CHIOCCIOLA ","name-exact","high"
"ventilatori-fumi","VENTILATORE FUMI CON ENCODER E CHIOCCIOLA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-con-encoder-e-chiocciola.jpg","55","VENTILATORE FUMI CON ENCODER E CHIOCCIOLA ","name-exact","high"
"bracieri-camere-combustione","BRACIERE SUSY-PERLA-CATRIA EVACALOR (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-susy-perla-catria-evacalor-2.jpg","56","BRACIERE SUSY-PERLA 7,5 KW EVACALOR","name-partial","manual-verified"
"bracieri-camere-combustione","BRACIERE SUSY-PERLA-CATRIA EVACALOR.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-susy-perla-catria-evacalor.jpg","56","BRACIERE SUSY-PERLA 7,5 KW EVACALOR","name-partial","manual-verified"
"display-cavi-telecomandi","DISPLAY LCD ELETTRONICA TIEMME.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-elettronica-tiemme.jpg","57","DISPLAY LCD ELETTRONICA TIEMME ","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160MM ATTACCO A FILETTO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160mm-attacco-a-filetto-38.jpg","59","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160mm 350w ATTACCO A FILETTO 1/2","name-partial","manual-verified"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 9,5 mm LUNGH.188 MM ESECUZIONE DRITTA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-5-mm-lungh-188-mm-esecuzione-dritta.jpg","60","RESISTENZA ELETTRICA Ø 9,5 mm LUNGH.188 MM  ESECUZIONE DRITTA","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160-mm.jpg","61","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160 mm","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 16 mm LUNGH.120 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-16-mm-lungh-120-mm.jpg","62","RESISTENZA ELETTRICA Ø 16 mm LUNGH.120 mm","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 9,9 mm LUNGH.155 MM ESECUZIONE DRITTA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-lungh-155-mm-esecuzione-dritta.jpg","63","RESISTENZA ELETTRICA Ø 9,9 mm LUNGH.155 MM  ESECUZIONE DRITTA","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE GRANDE SX (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-sx-2.jpg","64","VENTILATORE TANGENZIALE GRANDE SX","name-exact","high"
"ventilatori-aria","VENTILATORE TANGENZIALE GRANDE SX.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-sx.jpg","64","VENTILATORE TANGENZIALE GRANDE SX","name-exact","high"
"resistenze-accensione","RESISTENZA ELETTRICA Ø 12,5 mm LUNG.85 mm HT68027.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lung-85-mm-ht68027.jpg","65","RESISTENZA ELETTRICA Ø 12,5 mm LUNG.85 mm HT68027","sku","high"
"guarnizioni-silicone","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 1mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-1mm.jpg","66","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 1mm","name-exact","high"
"sonde-depressori-termostati","SUPPORTO DEPRESSORE.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/supporto-depressore.jpg","67","SUPPORTO DEPRESSORE","name-exact","high"
"sonde-depressori-termostati","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 80°.1.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/termostato-di-sicurezza-a-riarmo-manuale-80-1.jpg","68","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 80°","name-partial","medium"
"sonde-depressori-termostati","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 80°.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/termostato-di-sicurezza-a-riarmo-manuale-80.jpg","68","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 80°","name-exact","high"
"sonde-depressori-termostati","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 100°.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/termostato-di-sicurezza-a-riarmo-manuale-100.jpg","69","TERMOSTATO DI SICUREZZA A RIARMO MANUALE 100°","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 10 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-10-poli.jpg","70","CONNETTORE SCHEDA 10 POLI","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 7 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-7-poli.jpg","71","CONNETTORE SCHEDA 7 POLI","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 6 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-6-poli.jpg","72","CONNETTORE SCHEDA 6 POLI","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 4 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-4-poli.jpg","73","CONNETTORE SCHEDA 4 POLI","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 3 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-3-poli.jpg","74","CONNETTORE SCHEDA 3 POLI","name-exact","high"
"schede-elettroniche-sensori","CONNETTORE SCHEDA 2 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-2-poli.jpg","75","CONNETTORE SCHEDA 2 POLI","name-exact","high"
"schede-elettroniche-sensori","SCHEDA ELETTRONICA TIEMME SY8P-H01.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-tiemme-sy8p-h01.jpg","76","SCHEDA ELETTRONICA TIEMME SY8P-H01 ","name-exact","high"
"schede-elettroniche-sensori","SENSORE DEBIMETRO CON CAVO CEZA (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-con-cavo-ceza-2.jpg","78","SENSORE DEBIMETRO CON CAVO CEZA","name-exact","high"
"schede-elettroniche-sensori","SENSORE DEBIMETRO CON CAVO CEZA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-con-cavo-ceza.jpg","78","SENSORE DEBIMETRO CON CAVO CEZA","name-exact","high"
"coclee","coclea-per-stufe-6-9-kw-slim-new-attacco-femmina.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/coclee/coclea-per-stufe-6-9-kw-slim-new-attacco-femmina.jpg","89","COCLEA PER STUFE 6-9 KW SLIM NEW ATTACCO FEMMINA","name-exact","high"
"bracieri-camere-combustione","PARAFIAMMA HYDRO 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/parafiamma-hydro-2.jpeg","98","PARAFIAMMA STUFE HYDRO","name-partial","manual-verified"
"bracieri-camere-combustione","PARAFIAMMA HYDRO.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/parafiamma-hydro.jpeg","98","PARAFIAMMA STUFE HYDRO","name-partial","manual-verified"
"coclee","951044900 BOCCOLA PER COCLEA FEMMINA CON VITE E DADO.png","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/coclee/951044900-boccola-per-coclea-femmina-con-vite-e-dado.png","110","BOCCOLA PER COCLEA FEMMINA","name-partial","manual-verified"
"resistenze-accensione","KH67053.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/kh67053.jpg","116","CANDELA CERAMICA 230W Ø 11,55 230V RACC. 3/8"","sku","high"
"motoriduttori","motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri (1).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri-1.jpg","122","MOTORE COCLEA PER STUFE A PELLET 3 RPM CON SENSORE GIRI","name-partial","manual-verified"
"motoriduttori","motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","122","MOTORE COCLEA PER STUFE A PELLET 3 RPM CON SENSORE GIRI","name-partial","manual-verified"
"bracieri-camere-combustione","BRACIERE 4KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-4kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 4KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-4kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 5.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-5.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW4.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw4.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 4.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-4.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE IN GHISA (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa-2.jpg","175","BRACIERE IN GHISA ","name-exact","high"
"bracieri-camere-combustione","BRACIERE IN GHISA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa.jpg","175","BRACIERE IN GHISA ","name-exact","high"
"bracieri-camere-combustione","BRACIERE STUFE 8-11 KW.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-stufe-8-11-kw.jpg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","Misure Braciere 2.png","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere-2.png","175","BRACIERE IN GHISA","name-partial","manual-verified"
"bracieri-camere-combustione","Misure Braciere.png","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere.png","175","BRACIERE IN GHISA","name-partial","manual-verified"
"accessori","wifi duepi 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/accessori/wifi-duepi-2.jpeg","177","MODULO WIFI DUEPI","name-partial","manual-verified"
"accessori","wifi duepi.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/accessori/wifi-duepi.jpeg","177","MODULO WIFI DUEPI","name-partial","manual-verified"